20260412_232043|SISTEMA|INICIO|Inicio del proceso de extracción
20260412_232738|42.1_EPAT_0_A_27|OK|Encontrado en empleo_ingresos.xlsx. Registros: 44
20260412_232738|42.1_EPET_0_A_24|OK|Encontrado en empleo_ingresos.xlsx. Registros: 44
20260412_232738|42.1_EPDT_0_A_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 44
20260412_232738|42.1_EPST_0_A_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 44
20260412_232738|49.1_TAEP_0_0_37|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232738|49.1_TAEP_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232738|49.1_TAEO_0_0_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232738|49.1_TAED_0_0_33|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232738|49.1_TOTAL_AGLODOS_0_S_33_15|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232739|49.1_TOTAL_AGLOTES_0_S_45_28|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232739|49.1_TOTAL_AGLOTES_0_S_48_98|OK|Encontrado en empleo_ingresos.xlsx. Registros: 112
20260412_232739|49.2_TAEP_0_0_37|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TAEP_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TAEO_0_0_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TAED_0_0_33|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TOTAL_AGLODOS_0_T_33_90|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TOTAL_AGLOTES_0_T_45_1|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|49.2_TOTAL_AGLOTES_0_T_48_13|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260412_232739|50.1_IT_0_0_12|OK|Encontrado en empleo_ingresos.xlsx. Registros: 24
20260412_232739|50.1_II_0_0_16|OK|Encontrado en empleo_ingresos.xlsx. Registros: 24
20260412_232739|50.1_IC_0_0_19|OK|Encontrado en empleo_ingresos.xlsx. Registros: 24
20260412_232739|50.1_ICS_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 24
20260412_232739|56.1_NGMD_2012_T_22|OK|Encontrado en empleo_ingresos.xlsx. Registros: 53
20260412_232739|158.1_REPTE_0_0_5|OK|Encontrado en empleo_ingresos.xlsx. Registros: 378
20260412_232740|57.1_SMVMM_0_M_34|OK|Encontrado en empleo_ingresos.xlsx. Registros: 734
20260412_232740|58.1_MP_0_M_24|OK|Encontrado en empleo_ingresos.xlsx. Registros: 663
20260412_232740|60.1_IH_0_0_18|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260412_232740|60.1_PH_0_0_14|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260412_232740|60.1_IP_0_0_20|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260412_232740|60.1_PP_0_0_15|OK|Encontrado en empleo_ingresos.xlsx. Registros: 31
20260412_232740|145.1_IPC_NG_NACNAL_DICI_T_15|OK|Encontrado en precios.xlsx. Registros: 35
20260412_232740|147.1_IPC_BIENESNAL_DICI_T_19|OK|Encontrado en precios.xlsx. Registros: 36
20260412_232740|147.1_IPC_SERVICNAL_DICI_T_22|OK|Encontrado en precios.xlsx. Registros: 36
20260412_232740|148.1_IPC_NIVEL_NAL_DICI_T_26|OK|Encontrado en precios.xlsx. Registros: 32
20260412_232740|114.1_CPA_0_0_25|OK|Encontrado en precios.xlsx. Registros: 24
20260412_232740|116.1_TCRMA_0_A_36|OK|Encontrado en precios.xlsx. Registros: 28
20260412_232740|117.1_ENGV_0_A_33|OK|Encontrado en precios.xlsx. Registros: 35
20260412_232740|117.1_ENGC_0_A_36|OK|Encontrado en precios.xlsx. Registros: 35
20260412_232740|118.1_INGV_0_A_33|OK|Encontrado en precios.xlsx. Registros: 35
20260412_232740|118.1_INGC_0_A_36|OK|Encontrado en precios.xlsx. Registros: 35
20260412_232740|119.1_IPE_0_A_26|OK|Encontrado en precios.xlsx. Registros: 39
20260412_232740|119.1_IPI_0_A_26|OK|Encontrado en precios.xlsx. Registros: 39
20260412_232740|119.1_TI_0_A_20|OK|Encontrado en precios.xlsx. Registros: 39
20260412_232740|110.1_IPC_1993_A_17|OK|Encontrado en precios.xlsx. Registros: 20
20260412_232740|111.1_IPB_1993_A_14|OK|Encontrado en precios.xlsx. Registros: 20
20260412_232740|111.1_IPS_1993_A_17|OK|Encontrado en precios.xlsx. Registros: 20
20260412_232741|115.3_TCRM_0_M_29|OK|Encontrado en precios.xlsx. Registros: 300
20260412_232741|430.1_REM_IPC_NAL_T_M_0_0_25_28|OK|Encontrado en precios.xlsx. Registros: 115
20260412_232741|431.1_EXPECTATIVDIO_M_0_0_30_56|OK|Encontrado en precios.xlsx. Registros: 234
20260412_232746|169.1_MALVAL_0_0_6|OK|Encontrado en finanzas.xlsx. Registros: 7137
20260412_232751|168.1_T_CAMBI500_D_0_0_17|OK|Encontrado en finanzas.xlsx. Registros: 8779
20260412_232757|168.1_T_CAMBIOR_D_0_0_26|OK|Encontrado en finanzas.xlsx. Registros: 8779
20260412_232757|379.1_RESULTADO_006__23_58|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232757|379.2_RESULTADO_014__23_28|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232757|379.3_RESULTADO_017__18_83|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232757|398.1_RESULTADO_ERO_DEVE_A_20_94|OK|Encontrado en finanzas_publicas.xlsx. Registros: 26
20260412_232757|379.1_ING_ANTES_006__31_92|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232757|379.2_ING_ANTES_014__31_66|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232757|379.3_ING_ANTES_017__26_5|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232757|379.1_GTOS_ANTES006__32_18|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232757|379.2_GTOS_ANTES014__32_67|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232757|379.3_GTOS_ANTES017__27_95|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232757|379.1_SUPERAVIT_006__28_89|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232757|379.2_SUPERAVIT_014__28_63|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232757|379.3_SUPERAVIT_017__23_25|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232757|142.1_GANAN_2001_A_9|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232757|142.1_IVA_2001_A_3|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232757|142.1_CREDI_2001_A_24|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232757|172.1_SRIDAD_IAL_0_0_16|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232757|142.1_DEREC_2001_A_20|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232758|142.1_DEREC_2001_A_26|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232758|172.1_TL_RECAION_0_0_17|OK|Encontrado en finanzas_publicas.xlsx. Registros: 29
20260412_232758|452.2_GANANCIASIAS_0_T_9_12|OK|Encontrado en finanzas_publicas.xlsx. Registros: 10
20260412_232758|429.1_RECAUDACIO969_A_0_0_38_99|OK|Encontrado en finanzas_publicas.xlsx. Registros: 85
20260412_232758|186.1_TOTAL_POLISOS_0_0_23|OK|Encontrado en finanzas_publicas.xlsx. Registros: 22
20260412_232758|187.1_TOTAL_JUBIINO_0_0_58|OK|Encontrado en finanzas_publicas.xlsx. Registros: 26
20260412_232758|463.1_AUH_ASIGNA019_0_M_66_38|OK|Encontrado en finanzas_publicas.xlsx. Registros: 77
20260412_232758|372.1_ING_ANTES_006__31_56|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232758|372.2_ING_ANTES_014__31_61|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232758|372.3_ING_ANTES_017__26_97|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232758|372.1_GTOS_ANTES006__32_78|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232758|372.2_GTOS_ANTES014__32_40|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232758|372.3_GTOS_ANTES017__27_1|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232758|372.1_SUPERAVIT_006__28_10|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232758|372.2_SUPERAVIT_014__28_86|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232758|372.3_SUPERAVIT_017__23_94|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232758|372.1_RESULTADO_006__23_78|OK|Encontrado en finanzas_publicas.xlsx. Registros: 33
20260412_232758|372.2_RESULTADO_014__23_16|OK|Encontrado en finanzas_publicas.xlsx. Registros: 19
20260412_232758|372.3_RESULTADO_017__18_43|OK|Encontrado en finanzas_publicas.xlsx. Registros: 11
20260412_232758|4.1_OGP_2004_A_17|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_OGI_2004_A_25|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_MGCP_2004_A_25|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_DGCP_2004_A_30|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_DGIT_2004_A_25|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_DGE_2004_A_26|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_VE_2004_A_21|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.1_DE_2004_A_24|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232758|4.2_OGP_2004_T_17|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_OGI_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_MGCP_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_DGCP_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_DGIT_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_DGE_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_VE_2004_T_21|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|4.2_DE_2004_T_24|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232758|3.2_OGP_D_2004_T_17|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|3.2_OGI_D_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|3.2_DGE_D_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|3.2_DGI_D_2004_T_19|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|3.2_DGCP_D_2004_T_27|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|3.2_DGCP_D_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 87
20260412_232758|143.3_NO_PR_2004_A_21|OK|Encontrado en actividad.xlsx. Registros: 265
20260412_232759|143.3_NO_PR_2004_A_31|OK|Encontrado en actividad.xlsx. Registros: 265
20260412_232759|4.3_OGP_2004_A_17|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.3_OGI_2004_A_25|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.3_DGCP_2004_A_27|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.3_DGCP_2004_A_30|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.3_DGI_2004_A_19|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.3_DGE_2004_A_26|OK|Encontrado en actividad.xlsx. Registros: 22
20260412_232759|4.4_OGP_2004_T_17|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|4.4_OGI_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|4.4_DGCP_2004_T_27|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|4.4_DGCP_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|4.4_DGI_2004_T_19|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|4.4_DGE_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 88
20260412_232759|74.1_IET_0_A_16|OK|Encontrado en sector_externo.xlsx. Registros: 116
20260412_232759|74.2_IET_0_T_16|OK|Encontrado en sector_externo.xlsx. Registros: 136
20260412_232759|74.3_IET_0_M_16|OK|Encontrado en sector_externo.xlsx. Registros: 410
20260412_232759|74.1_IIT_0_A_25|OK|Encontrado en sector_externo.xlsx. Registros: 116
20260412_232759|74.2_IIT_0_T_25|OK|Encontrado en sector_externo.xlsx. Registros: 136
20260412_232800|74.3_IIT_0_M_25|OK|Encontrado en sector_externo.xlsx. Registros: 410
20260412_232800|160.1_CTA_CORFOB_0_A_59|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_CTA_CORIOS_0_A_52|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_CTA_CORRFOB_0_A_59|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_CTA_CORIOS_0_A_51|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_TL_CUENNTE_0_A_22|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_TL_CUENERA_0_A_23|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.1_AVOS_RERVA_0_A_15|OK|Encontrado en sector_externo.xlsx. Registros: 117
20260412_232800|160.2_CTA_CORFOB_0_T_59|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_CTA_CORIOS_0_T_52|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_CTA_CORRFOB_0_T_59|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_CTA_CORIOS_0_T_51|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_TL_CUENNTE_0_T_22|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_TL_CUENERA_0_T_23|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|160.2_AVOS_RERVA_0_T_15|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|161.1_TL_DEUDRNA_0_0_19|OK|Encontrado en sector_externo.xlsx. Registros: 80
20260412_232800|313.1_TOTALTAL_0_T_5|OK|Encontrado en sector_externo.xlsx. Registros: 64
20260412_232806|89.2_TS_INTELAR_0_D_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 8465
20260412_232806|90.1_BMT_0_0_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232806|90.1_BMCMT_0_0_42|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232806|90.1_BMCCB_0_0_36|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232806|90.1_AMTM2_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_AMTM3_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_DTPPUB_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_DTPPRI_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_DTPT_0_0_29|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_DTDPUB_0_0_33|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232807|90.1_DTDPRI_0_0_33|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232808|90.1_DTDT_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232808|90.1_DET_DESAGRTAL_0_0_38|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232808|90.1_DET_DESAGRTAL_0_0_44|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232808|91.1_PEFPC_0_0_35|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232808|91.1_DETALLE_PRPOT_0_0_25|OK|Encontrado en dinero_bancos.xlsx. Registros: 278
20260412_232814|92.2_RESERVAS_IRES_0_0_32_40|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232820|92.2_PASIVOS_MOIOS_0_0_18_34|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232825|92.2_PASIVOS_MOSOS_0_0_31_15|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232831|92.2_PASIVOS_MORES_0_0_33_100|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232836|92.2_OTROS_DEPORNO_0_0_24_42|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232842|92.2_TIPO_CAMBIION_0_0_21_24|OK|Encontrado en dinero_bancos.xlsx. Registros: 8467
20260412_232847|94.2_CD_D_0_0_10|OK|Encontrado en dinero_bancos.xlsx. Registros: 8471
20260412_232853|94.2_UVAD_D_0_0_10|OK|Encontrado en dinero_bancos.xlsx. Registros: 8471
20260412_232907|175.1_DR_ESTANSE_0_0_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 20526
20260412_232921|175.1_DR_REFE500_0_0_25|OK|Encontrado en dinero_bancos.xlsx. Registros: 20526
20260412_232926|331.2_SALDO_BASERIA__15|OK|Encontrado en dinero_bancos.xlsx. Registros: 8475
20260412_232932|331.2_TOTAL_VARIION__27|OK|Encontrado en dinero_bancos.xlsx. Registros: 8475
20260412_232941|SISTEMA|FIN|Proceso completado. Series: 175 | Exitosas: 175 | Fallidas: 0
